id,vertices,time,memory,olean size
0,6,1.58,421,824
1,8,1.46,421,950
2,8,1.46,421,969
3,8,1.42,421,988
4,8,1.41,421,779
5,8,1.49,421,931
6,8,1.49,421,931
7,8,1.69,421,874
8,8,1.61,421,950
9,10,1.77,421,902
10,10,1.69,421,962
11,9,1.64,421,1051
12,9,1.70,421,1127
13,9,1.68,421,874
14,11,1.69,422,1215
15,11,1.68,421,1101
16,9,1.69,421,766
17,19,1.75,425,1707
18,19,1.65,423,1368
19,12,1.75,421,1044
20,18,1.75,422,1232
21,15,1.84,421,1125
22,12,1.71,422,1316
23,12,1.60,421,1107
24,12,1.74,423,1392
25,16,1.68,423,1410
26,20,1.73,426,1792
27,20,1.75,431,2202
28,20,1.66,424,1516
29,20,1.62,424,1513
30,20,1.63,423,1339
31,21,1.70,423,1345
32,20,1.72,422,1232
33,20,1.72,422,1235
34,20,1.68,422,1238
35,22,1.72,430,2077
36,22,1.75,423,1402
37,22,1.63,423,1408
38,22,1.67,423,1402
39,22,1.66,423,1364
40,22,1.67,423,1389
41,22,1.68,423,1386
42,23,1.73,425,1620
43,23,1.69,423,1433
44,23,1.67,423,1417
45,23,1.69,423,1452
46,23,1.69,423,1408
47,23,1.76,429,2023
48,24,1.69,426,1765
49,24,1.69,430,2083
50,24,1.71,433,2305
51,24,1.57,423,1370
52,24,1.67,423,1385
53,24,1.70,423,1379
54,24,1.79,423,1376
55,24,1.74,423,1373
56,26,1.64,423,1439
57,25,1.70,428,1959
58,25,1.66,428,1959
59,25,1.72,428,1962
60,25,1.74,428,1962
61,25,1.73,428,1956
62,25,1.79,428,1959
63,26,1.70,423,1445
64,26,1.68,422,1179
65,26,1.67,423,1439
66,27,1.66,428,1891
67,27,1.66,428,1888
68,27,1.67,427,1891
69,27,1.72,427,1888
70,27,1.74,428,1894
71,27,1.68,428,1897
72,27,1.64,428,1894
73,28,1.73,439,2720
74,28,1.79,438,2633
75,28,1.78,440,2741
76,28,1.75,429,2040
77,28,1.67,424,1517
78,28,1.68,424,1505
79,29,1.74,432,2208
80,29,1.77,432,2217
81,29,1.74,432,2208
82,29,1.82,432,2217
83,29,1.83,431,2214
84,29,1.71,432,2214
85,29,1.72,432,2211
86,29,1.71,432,2211
87,29,1.83,432,2214
88,29,1.74,432,2214
89,29,1.73,432,2214
90,29,1.76,431,2214
91,29,1.84,432,2217
92,29,1.87,442,2914
93,30,1.76,434,2391
94,30,1.85,434,2394
95,30,1.85,434,2388
96,30,1.76,434,2394
97,30,1.74,434,2391
98,30,1.94,434,2388
99,30,1.81,434,2391
100,30,1.69,427,1837
101,30,1.77,434,2388
102,30,1.75,434,2391
103,30,1.83,434,2388
104,30,1.79,434,2391
105,30,1.87,434,2388
106,30,1.80,434,2391
107,30,1.80,434,2391
108,30,1.79,434,2394
109,30,1.88,434,2388
110,30,1.82,435,2388
111,30,1.69,424,1583
112,30,1.74,424,1589
113,30,1.86,424,1592
114,30,1.77,424,1592
115,31,1.86,437,2577
116,31,1.79,437,2577
117,31,1.80,437,2576
118,31,1.80,437,2573
119,31,1.86,437,2580
120,31,1.91,437,2574
121,32,1.71,425,1646
122,32,1.69,425,1649
123,32,1.95,425,1649
124,32,1.70,425,1649
125,32,1.81,425,1655
126,32,1.74,425,1652
127,34,1.73,426,1721
128,34,1.71,426,1709
129,34,1.70,426,1718
130,34,1.69,426,1730
131,34,1.71,426,1724
132,34,1.76,426,1727
133,34,1.67,426,1715
134,34,1.67,426,1721
135,40,1.71,428,1938
136,38,1.71,427,1872
137,38,1.75,427,1872
138,38,1.78,427,1875
139,38,1.81,427,1872
140,40,2.24,502,5197
141,36,1.70,426,1809
142,43,1.73,431,2156
143,43,1.70,431,2156
144,43,1.74,431,2153
145,43,1.74,431,2153
146,43,1.73,431,2153
147,43,1.67,431,2156
148,42,1.72,431,2122
149,46,1.73,430,2146
150,46,1.74,430,2146
151,46,1.73,431,2155
152,44,1.94,429,2077
153,46,1.72,430,2164
154,46,1.77,430,2146
155,46,2.04,430,2152
156,51,5.01,813,10864
157,60,1.83,438,2634
158,62,2.13,489,4644
159,60,1.74,438,2716
160,58,1.79,437,2566
161,56,11.9,1500,18780
162,96,1.91,469,4213
163,128,2.25,508,5645
164,114,2.31,490,5026
165,146,2.47,538,6447
166,130,2.26,511,5654
167,132,3.54,679,9025
168,136,2.36,521,6095
169,144,2.40,534,6241
170,148,2.42,541,6532
171,120,2.09,496,5201
172,168,2.66,579,7254
173,156,2.59,553,6792
174,176,2.89,596,7837
175,160,2.62,563,7003
176,174,2.88,592,7874
177,160,2.63,563,7077
178,172,2.73,587,7412
179,192,3.18,627,8431
180,192,3.02,630,8433
181,198,3.24,646,8846
182,192,3.16,628,8289
183,192,3.09,630,8353
184,196,3.18,641,8555
185,220,3.56,695,9718
186,224,3.67,712,9993
187,228,3.79,724,10211
188,234,4.35,741,10473
189,240,4.42,758,10717
190,240,4.15,757,10657
191,240,4.20,757,10714
192,242,4.77,762,10508
193,248,4.77,783,11068
194,210,3.47,673,9196
195,216,3.46,691,9641
196,210,3.40,676,9394